threads,trials,probability,megatrials/sec
 1,       1,  0.00%,  0.78
 1,      10, 10.00%,  3.75
 1,     100, 22.00%,  9.51
 1,    1000, 28.70%, 12.26
 1,   10000, 29.12%,  9.51
 1,  100000, 28.98%, 15.39
 1,  500000, 29.05%, 22.96
 1, 1000000, 29.02%, 20.34
 2,       1,  0.00%,  0.29
 2,      10,  0.00%,  2.38
 2,     100, 25.00%, 10.01
 2,    1000, 30.10%, 23.84
 2,   10000, 29.76%, 19.22
 2,  100000, 28.78%, 23.24
 2,  500000, 29.18%, 37.89
 2, 1000000, 29.09%, 38.24
 4,       1,100.00%,  0.40
 4,      10, 40.00%,  1.65
 4,     100, 31.00%, 15.93
 4,    1000, 29.10%, 38.40
 4,   10000, 28.81%, 37.22
 4,  100000, 29.02%, 41.03
 4,  500000, 29.04%, 57.93
 4, 1000000, 29.14%, 70.88
 8,       1,  0.00%,  0.23
 8,      10, 40.00%,  3.04
 8,     100, 33.00%, 13.79
 8,    1000, 28.60%, 67.30
 8,   10000, 29.35%, 71.43
 8,  100000, 28.96%, 71.08
 8,  500000, 29.14%, 92.29
 8, 1000000, 29.14%,113.68
12,       1,  0.00%,  0.16
12,      10, 20.00%,  1.73
12,     100, 25.00%, 11.28
12,    1000, 25.90%, 57.52
12,   10000, 28.48%, 73.47
12,  100000, 29.21%, 98.79
12,  500000, 29.11%,124.32
12, 1000000, 29.09%,148.60
16,       1,100.00%,  0.12
16,      10, 20.00%,  1.48
16,     100, 24.00%, 10.71
16,    1000, 30.20%, 58.79
16,   10000, 28.30%, 93.37
16,  100000, 29.30%, 98.03
16,  500000, 29.15%,161.11
16, 1000000, 29.13%,182.79
20,       1,  0.00%,  0.11
20,      10, 20.00%,  1.10
20,     100, 30.00%,  9.31
20,    1000, 27.10%, 64.10
20,   10000, 29.31%,107.63
20,  100000, 29.09%,112.98
20,  500000, 29.00%,129.56
20, 1000000, 29.02%,166.71
24,       1,  0.00%,  0.09
24,      10, 10.00%,  1.27
24,     100, 30.00%,  7.86
24,    1000, 29.80%, 79.97
24,   10000, 29.62%,137.84
24,  100000, 29.24%,145.49
24,  500000, 29.14%,156.74
24, 1000000, 29.13%,176.29
32,       1,100.00%,  0.08
32,      10, 20.00%,  0.00
32,     100, 33.00%,  0.09
32,    1000, 29.80%,  0.23
32,   10000, 29.42%,  3.26
32,  100000, 29.13%,179.05
32,  500000, 29.16%,194.60
32, 1000000, 29.20%,207.67
