threads,trials,probability,megatrials/sec
 1,       1,  0.00%,  0.60
 1,      10, 30.00%,  9.52
 1,     100, 25.00%,  9.39
 1,    1000, 28.00%, 10.09
 1,   10000, 28.57%, 10.20
 1,  100000, 29.06%, 14.95
 1,  500000, 29.12%, 23.15
 1, 1000000, 29.09%, 23.08
 2,       1,100.00%,  0.25
 2,      10, 50.00%,  2.22
 2,     100, 24.00%, 12.26
 2,    1000, 28.00%, 19.09
 2,   10000, 28.73%, 18.12
 2,  100000, 28.84%, 21.99
 2,  500000, 29.04%, 44.07
 2, 1000000, 29.07%, 42.11
 4,       1,  0.00%,  0.23
 4,      10, 10.00%,  2.34
 4,     100, 21.00%, 17.91
 4,    1000, 29.30%, 37.76
 4,   10000, 28.86%, 37.25
 4,  100000, 29.06%, 38.43
 4,  500000, 29.15%, 48.31
 4, 1000000, 29.16%, 84.87
 8,       1,  0.00%,  0.19
 8,      10, 10.00%,  1.78
 8,     100, 28.00%, 14.42
 8,    1000, 27.90%, 66.68
 8,   10000, 29.28%, 71.47
 8,  100000, 29.13%, 71.37
 8,  500000, 28.99%, 87.22
 8, 1000000, 29.00%,115.31
12,       1,100.00%,  0.15
12,      10, 20.00%,  1.68
12,     100, 35.00%, 13.13
12,    1000, 29.40%, 54.55
12,   10000, 28.63%,108.52
12,  100000, 28.81%, 98.53
12,  500000, 29.08%,125.59
12, 1000000, 29.12%,154.05
16,       1,  0.00%,  0.11
16,      10, 20.00%,  1.50
16,     100, 22.00%,  9.02
16,    1000, 27.80%, 70.03
16,   10000, 28.82%,120.32
16,  100000, 28.99%,105.04
16,  500000, 29.04%,157.98
16, 1000000, 29.07%,174.97
20,       1,  0.00%,  0.11
20,      10, 30.00%,  1.37
20,     100, 25.00%,  8.59
20,    1000, 29.20%, 73.81
20,   10000, 29.70%,114.91
20,  100000, 29.23%,113.25
20,  500000, 29.06%,130.36
20, 1000000, 29.09%,131.78
24,       1,  0.00%,  0.09
24,      10, 30.00%,  1.08
24,     100, 34.00%,  7.86
24,    1000, 28.40%, 67.92
24,   10000, 28.50%,126.41
24,  100000, 29.14%,135.74
24,  500000, 29.07%,155.84
24, 1000000, 29.12%,163.99
32,       1,100.00%,  0.00
32,      10, 10.00%,  0.00
32,     100, 20.00%,  0.03
32,    1000, 27.80%,  0.23
32,   10000, 28.05%,166.72
32,  100000, 29.06%,175.83
32,  500000, 29.00%,197.53
32, 1000000, 29.04%,221.71
