threads,nodes,volume,MegaHeights computer per second
 1,    1000,7.762210, 14.23,0.070293
 1,    2000,7.760029, 21.78,0.183664
 1,    3000,7.759306, 24.32,0.370033
 1,    4000,7.758942, 25.35,0.631061
 1,    5000,7.758725, 25.36,0.985743
 1,    6000,7.758580, 26.02,1.383761
 1,    7000,7.758476, 26.19,1.871142
 1,    8000,7.758398, 26.37,2.427025
 1,    9000,7.758338, 26.37,3.072105
 1,   10000,7.758289, 26.39,3.789922
 2,    1000,7.762210, 23.60,0.042381
 2,    2000,7.760029, 36.96,0.108224
 2,    3000,7.759306, 44.12,0.203967
 2,    4000,7.758942, 46.68,0.342724
 2,    5000,7.758725, 48.44,0.516098
 2,    6000,7.758580, 49.23,0.731194
 2,    7000,7.758476, 49.79,0.984148
 2,    8000,7.758398, 50.37,1.270585
 2,    9000,7.758338, 51.01,1.587838
 2,   10000,7.758289, 50.71,1.971838
 4,    1000,7.762210, 41.92,0.023856
 4,    2000,7.760029, 60.24,0.066401
 4,    3000,7.759306, 74.76,0.120392
 4,    4000,7.758942, 84.03,0.190410
 4,    5000,7.758725, 88.56,0.282289
 4,    6000,7.758580, 91.57,0.393135
 4,    7000,7.758476, 93.02,0.526760
 4,    8000,7.758398, 94.63,0.676285
 4,    9000,7.758338, 95.49,0.848215
 4,   10000,7.758289, 96.06,1.041013
 8,    1000,7.762210, 60.23,0.016603
 8,    2000,7.760029, 78.39,0.051030
 8,    3000,7.759306, 93.87,0.095876
 8,    4000,7.758942,108.78,0.147081
 8,    5000,7.758725,114.09,0.219123
 8,    6000,7.758580,115.00,0.313049
 8,    7000,7.758476,120.13,0.407893
 8,    8000,7.758398,122.71,0.521534
 8,    9000,7.758338,123.65,0.655093
 8,   10000,7.758289,122.33,0.817450
12,    1000,7.762210, 58.92,0.016971
12,    2000,7.760029, 88.86,0.045016
12,    3000,7.759306, 97.39,0.092413
12,    4000,7.758942,106.28,0.150547
12,    5000,7.758725,112.89,0.221445
12,    6000,7.758580,119.49,0.301268
12,    7000,7.758476,110.94,0.441675
12,    8000,7.758398,122.41,0.522840
12,    9000,7.758338,124.02,0.653132
12,   10000,7.758289,124.93,0.800418
16,    1000,7.762210, 56.76,0.017617
16,    2000,7.760029, 88.63,0.045133
16,    3000,7.759306,101.96,0.088267
16,    4000,7.758942,110.59,0.144682
16,    5000,7.758725,119.35,0.209463
16,    6000,7.758580,117.74,0.305766
16,    7000,7.758476,121.63,0.402876
16,    8000,7.758398,124.63,0.513503
16,    9000,7.758338,125.13,0.647325
16,   10000,7.758289,124.65,0.802266
