threads,nodes,volume,execution time
 1,    1000,7.762210,  0.05
 1,    5000,7.758725,  0.95
 1,   10000,7.758289,  3.76
 1,   20000,7.758071, 15.00
 2,    1000,7.762210,  0.03
 2,    5000,7.758725,  0.49
 2,   10000,7.758289,  1.95
 2,   20000,7.758071,  7.77
 4,    1000,7.762210,  0.01
 4,    5000,7.758725,  0.26
 4,   10000,7.758289,  1.02
 4,   20000,7.758071,  4.06
 8,    1000,7.762210,  0.01
 8,    5000,7.758725,  0.20
 8,   10000,7.758289,  0.79
 8,   20000,7.758071,  3.09
12,    1000,7.762210,  0.02
12,    5000,7.758725,  0.20
12,   10000,7.758289,  0.78
12,   20000,7.758071,  3.08
16,    1000,7.762210,  0.01
16,    5000,7.758725,  0.21
16,   10000,7.758289,  0.78
16,   20000,7.758071,  3.07
