NUM_ELEMENTS, LOCAL_SIZE, NUM_WORK_GROUPS, GigaMultsPerSecond
    1024,   8,       128,     0.020
    1024,  16,        64,     0.017
    1024,  32,        32,     0.022
    1024,  64,        16,     0.024
    1024, 128,         8,     0.023
    1024, 256,         4,     0.023
    1024, 512,         2,     0.023
  524288,   8,     65536,     1.639
  524288,  16,     32768,     1.943
  524288,  32,     16384,     2.230
  524288,  64,      8192,     0.347
  524288, 128,      4096,     2.425
  524288, 256,      2048,     2.470
  524288, 512,      1024,     2.550
 1048576,   8,    131072,     2.420
 1048576,  16,     65536,     3.210
 1048576,  32,     32768,     3.895
 1048576,  64,     16384,     4.420
 1048576, 128,      8192,     0.652
 1048576, 256,      4096,     4.421
 1048576, 512,      2048,     4.540
 2097152,   8,    262144,     3.152
 2097152,  16,    131072,     4.766
 2097152,  32,     65536,     6.483
 2097152,  64,     32768,     7.750
 2097152, 128,     16384,     8.337
 2097152, 256,      8192,     8.275
 2097152, 512,      4096,     8.022
 4194304,   8,    524288,     1.797
 4194304,  16,    262144,     6.124
 4194304,  32,    131072,     8.861
 4194304,  64,     65536,     3.127
 4194304, 128,     32768,    13.320
 4194304, 256,     16384,    13.193
 4194304, 512,      8192,    13.632
 8388608,   8,   1048576,     4.121
 8388608,  16,    524288,     7.290
 8388608,  32,    262144,     4.302
 8388608,  64,    131072,    16.249
 8388608, 128,     65536,    20.015
 8388608, 256,     32768,    18.122
 8388608, 512,     16384,    21.092
