NUM_ELEMENTS, LOCAL_SIZE, NUM_WORK_GROUPS, GigaMultiply-Adds Per Second
    1024,   8,       128,     0.015
    1024,  16,        64,     0.014
    1024,  32,        32,     0.014
    1024,  64,        16,     0.014
    1024, 128,         8,     0.014
    1024, 256,         4,     0.015
    1024, 512,         2,     0.014
  524288,   8,     65536,     0.077
  524288,  32,     16384,     0.054
  524288,  16,     32768,     0.027
  524288,  64,      8192,     0.315
  524288, 128,      4096,     0.344
  524288, 256,      2048,     0.018
  524288, 512,      1024,     0.025
 1048576,   8,    131072,     0.050
 1048576,  32,     32768,     0.078
 1048576,  16,     65536,     0.206
