NUM_ELEMENTS, LOCAL_SIZE, NUM_WORK_GROUPS, GigaMultsPerSecond
    1024,   8,       128,     0.021
    1024,  16,        64,     0.023
    1024,  32,        32,     0.022
    1024,  64,        16,     0.022
    1024, 128,         8,     0.019
    1024, 256,         4,     0.023
    1024, 512,         2,     0.023
  524288,   8,     65536,     1.622
  524288,  16,     32768,     1.913
  524288,  32,     16384,     2.176
  524288,  64,      8192,     2.280
  524288, 128,      4096,     2.315
  524288, 256,      2048,     0.461
  524288, 512,      1024,     2.336
 1048576,   8,    131072,     2.384
 1048576,  16,     65536,     3.058
 1048576,  32,     32768,     3.758
 1048576,  64,     16384,     4.131
 1048576, 128,      8192,     4.228
 1048576, 256,      4096,     4.254
 1048576, 512,      2048,     4.212
 2097152,   8,    262144,     3.216
 2097152,  16,    131072,     4.748
 2097152,  32,     65536,     6.038
 2097152,  64,     32768,     1.783
 2097152, 128,     16384,     7.771
 2097152, 256,      8192,     2.994
 2097152, 512,      4096,     7.515
 4194304,   8,    524288,     3.752
 4194304,  16,    262144,     6.146
 4194304,  32,    131072,     1.514
 4194304,  64,     65536,    11.521
 4194304, 128,     32768,    12.476
 4194304, 256,     16384,    12.280
 4194304, 512,      8192,    12.885
 8388608,   8,   1048576,     4.123
 8388608,  16,    524288,     5.020
 8388608,  32,    262144,    11.305
 8388608,  64,    131072,    15.921
 8388608, 128,     65536,    17.357
 8388608, 256,     32768,    17.015
 8388608, 512,     16384,    17.540
