NUM_ELEMENTS, LOCAL_SIZE, NUM_WORK_GROUPS, GigaMultiply-Adds Per Second
    1024,   8,       128,     0.018
    1024,  16,        64,     0.016
    1024,  32,        32,     0.017
    1024,  64,        16,     0.016
    1024, 128,         8,     0.020
    1024, 256,         4,     0.016
    1024, 512,         2,     0.017
  524288,   8,     65536,     0.855
  524288,  16,     32768,     0.940
  524288,  32,     16384,     0.334
  524288,  64,      8192,     0.969
  524288, 128,      4096,     1.885
  524288, 256,      2048,     0.684
  524288, 512,      1024,     0.104
 1048576,   8,    131072,     1.848
 1048576,  16,     65536,     0.804
 1048576,  32,     32768,     2.107
 1048576,  64,     16384,     3.473
 1048576, 128,      8192,     3.743
 1048576, 256,      4096,     3.300
 1048576, 512,      2048,     0.525
 2097152,   8,    262144,     2.636
 2097152,  16,    131072,     3.696
 2097152,  32,     65536,     4.090
 2097152,  64,     32768,     3.572
 2097152, 128,     16384,     4.633
 2097152, 256,      8192,     1.749
 2097152, 512,      4096,     4.348
 4194304,   8,    524288,     2.743
 4194304,  16,    262144,     5.465
 4194304,  32,    131072,     3.815
 4194304,  64,     65536,     9.923
 4194304, 128,     32768,    11.457
 4194304, 256,     16384,     3.419
 4194304, 512,      8192,    11.729
 8388608,   8,   1048576,     1.833
 8388608,  16,    524288,     6.392
 8388608,  32,    262144,    10.690
 8388608,  64,    131072,    11.329
 8388608, 128,     65536,     9.670
 8388608, 256,     32768,    21.422
