NUM_ELEMENTS, LOCAL_SIZE, NUM_WORK_GROUPS, GigaMultsPerSecond
    1024,   8,       128,     0.017
    1024,  16,        64,     0.008
    1024,  32,        32,     0.010
    1024,  64,        16,     0.019
    1024, 128,         8,     0.019
    1024, 256,         4,     0.017
    1024, 512,         2,     0.013
  524288,   8,     65536,     1.306
  524288,  16,     32768,     1.095
  524288,  32,     16384,     1.143
  524288,  64,      8192,     1.973
  524288, 128,      4096,     2.095
  524288, 256,      2048,     1.830
  524288, 512,      1024,     1.586
 1048576,   8,    131072,     2.099
 1048576,  16,     65536,     0.164
 1048576,  32,     32768,     3.201
 1048576,  64,     16384,     3.211
 1048576, 128,      8192,     4.016
 1048576, 256,      4096,     2.800
 1048576, 512,      2048,     0.121
 2097152,   8,    262144,     0.454
 2097152,  16,    131072,     3.734
 2097152,  32,     65536,     5.576
 2097152,  64,     32768,     0.331
 2097152, 128,     16384,     0.073
 2097152, 256,      8192,     5.427
 2097152, 512,      4096,     6.106
 4194304,   8,    524288,     1.105
 4194304,  16,    262144,     4.670
 4194304,  32,    131072,     6.996
 4194304,  64,     65536,     0.371
 4194304, 128,     32768,     8.573
 4194304, 256,     16384,     0.321
 4194304, 512,      8192,     0.349
 8388608,   8,   1048576,     2.417
 8388608,  16,    524288,     5.034
 8388608,  32,    262144,     6.275
 8388608,  64,    131072,     9.254
 8388608, 128,     65536,    12.372
 8388608, 256,     32768,     9.620
 8388608, 512,     16384,    11.651
