NUM_ELEMENTS, LOCAL_SIZE, NUM_WORK_GROUPS, GigaMultsPerSecond
    1024,   8,       128     0.016
    1024,  16,        64     0.019
    1024,  32,        32     0.019
    1024,  64,        16     0.020
    1024, 128,         8     0.011
    1024, 256,         4     0.015
    1024, 512,         2     0.018
  524288,   8,     65536     1.304
  524288,  16,     32768     1.424
  524288,  32,     16384     0.052
  524288,  64,      8192     1.616
  524288, 128,      4096     2.085
  524288, 256,      2048     0.033
  524288, 512,      1024     0.721
 1048576,   8,    131072     1.274
 1048576,  16,     65536     2.760
 1048576,  32,     32768     2.546
 1048576,  64,     16384     4.157
 1048576, 128,      8192     1.727
 1048576, 256,      4096     3.966
 1048576, 512,      2048     3.163
 2097152,   8,    262144     2.100
 2097152,  16,    131072     3.462
 2097152,  32,     65536     0.186
 2097152,  64,     32768     5.555
 2097152, 128,     16384     1.073
 2097152, 256,      8192     0.257
 2097152, 512,      4096     4.323
 4194304,   8,    524288     2.607
 4194304,  16,    262144     0.519
 4194304,  32,    131072     6.179
 4194304,  64,     65536     7.302
 4194304, 128,     32768     0.300
 4194304, 256,     16384     7.016
 4194304, 512,      8192     6.684
 8388608,   8,   1048576     2.643
 8388608,  16,    524288     4.458
 8388608,  32,    262144     7.804
 8388608,  64,    131072     9.094
 8388608, 128,     65536    10.292
 8388608, 256,     32768     9.225
 8388608, 512,     16384     6.838
