NUM_ELEMENTS, LOCAL_SIZE, NUM_WORK_GROUPS, GigaMultiply-Adds Per Second
    1024,   8,       128,     0.014
    1024,  16,        64,     0.017
    1024,  32,        32,     0.018
    1024,  64,        16,     0.015
    1024, 128,         8,     0.018
    1024, 256,         4,     0.015
    1024, 512,         2,     0.012
  524288,   8,     65536,     0.831
  524288,  16,     32768,     1.084
  524288,  32,     16384,     1.528
  524288,  64,      8192,     1.601
  524288, 128,      4096,     1.854
  524288, 256,      2048,     1.566
  524288, 512,      1024,     1.951
 1048576,   8,    131072,     0.958
 1048576,  16,     65536,     1.654
 1048576,  32,     32768,     2.434
 1048576,  64,     16384,     2.687
 1048576, 128,      8192,     1.236
 1048576, 256,      4096,     3.384
 1048576, 512,      2048,     2.590
 2097152,   8,    262144,     1.296
 2097152,  16,    131072,     1.889
 2097152,  32,     65536,     2.680
 2097152,  64,     32768,     4.616
 2097152, 128,     16384,     4.825
 2097152, 256,      8192,     0.343
 2097152, 512,      4096,     2.436
 4194304,   8,    524288,     1.303
 4194304,  16,    262144,     2.029
 4194304,  32,    131072,     3.458
 4194304,  64,     65536,     4.717
 4194304, 128,     32768,     7.085
 4194304, 256,     16384,     6.006
 4194304, 512,      8192,     0.275
 8388608,   8,   1048576,     1.371
 8388608,  16,    524288,     2.079
 8388608,  32,    262144,     3.943
 8388608,  64,    131072,     6.266
 8388608, 128,     65536,     5.563
 8388608, 256,     32768,     7.385
 8388608, 512,     16384,     5.713
